         637770 function calls (617981 primitive calls) in 0.562 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 endpoint_provider.py:704(__init__)
        2    0.000    0.000    0.002    0.001 endpoint_provider.py:654(__init__)
        1    0.000    0.000    0.002    0.002 configloader.py:1(<module>)
   190/96    0.000    0.000    0.002    0.000 configprovider.py:686(provide)
      324    0.001    0.000    0.002    0.000 docscrape.py:174(_is_at_section)
    574/4    0.001    0.000    0.002    0.000 endpoint_provider.py:557(create)
        1    0.000    0.000    0.002    0.002 endpoint.py:1(<module>)
    210/2    0.001    0.000    0.002    0.001 endpoint_provider.py:531(__init__)
        3    0.000    0.000    0.002    0.001 dataclasses.py:1264(wrap)
        3    0.000    0.000    0.002    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.002    0.002 numpy_.py:1(<module>)
        1    0.000    0.000    0.002    0.002 handlers.py:1(<module>)
  243/187    0.000    0.000    0.002    0.000 typing.py:1600(__hash__)
       90    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     6817    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
    12325    0.002    0.000    0.002    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.002    0.002 _parser.py:1(<module>)
      105    0.000    0.000    0.002    0.000 docscrape.py:205(_read_to_next_section)
        1    0.000    0.000    0.002    0.002 accessor.py:157(StringMethods)
        4    0.000    0.000    0.002    0.000 httpsession.py:287(__init__)
        1    0.000    0.000    0.002    0.002 array_ops.py:1(<module>)
      148    0.000    0.000    0.002    0.000 typing.py:892(__init__)
       49    0.000    0.000    0.002    0.000 typing.py:1074(_generic_class_getitem)
        2    0.000    0.000    0.002    0.001 categorical.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _base.py:1435(ExcelFile)
        1    0.000    0.000    0.002    0.002 configparser.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
     1565    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      632    0.001    0.000    0.002    0.000 typing.py:1205(__getattr__)
        1    0.000    0.000    0.002    0.002 rolling.py:1(<module>)
      644    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        4    0.000    0.000    0.002    0.000 httpsession.py:336(_get_pool_manager_kwargs)
      226    0.000    0.000    0.002    0.000 docscrape.py:84(read_to_next_empty_line)
        4    0.000    0.000    0.002    0.000 httpsession.py:348(_get_ssl_context)
        4    0.000    0.000    0.002    0.000 httpsession.py:102(create_urllib3_context)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
